,GM,FA,MD,RD,AD,V1
99,Left PIns posterior insula,1.0832,0.41700000000000004,0.4629,0.4856,1.2628
100,Right PO parietal operculum,3.9047,0.4096,0.4336,0.7745,2.9464
101,Left PO parietal operculum,1.7933,0.4876,0.5108,0.8214,1.6177
102,Right PoG postcentral gyrus,11.3772,3.3325,3.532,3.1061,7.2324
103,Left PoG postcentral gyrus,11.1618,2.8489999999999998,3.0727,2.6364,7.2301
104,Right POrG posterior orbital gyrus,6.0492,2.0434,2.1262,1.9092,6.1164
105,Left POrG posterior orbital gyrus,3.8615,1.7672,1.7438,1.8035,3.2103
106,Right PP planum polare,4.8793,1.4261,1.4259,1.4351,3.3709
107,Left PP planum polare,2.3905,0.9195,0.8483,1.0435,1.8252
108,Right PrG precentral gyrus,12.2196,2.8021,2.9713,2.8316,7.202000000000001
109,Left PrG precentral gyrus,9.1725,2.5405,2.5119,2.6736,6.1656
110,Right PT planum temporale,4.0721,0.5845,0.6154,0.7693,4.1402
111,Left PT planum temporale,3.511,0.4162,0.435,0.7148,3.3286
112,Right SCA subcallosal area,1.2506,0.9928,0.9451,1.0485,1.3312
113,Left SCA subcallosal area,0.8619,0.8787,0.9354,0.8478,0.8122
114,Right SFG superior frontal gyrus,22.4427,2.8960000000000004,3.4552,2.7391,11.1186
115,Left SFG superior frontal gyrus,21.2335,2.8613,3.3859,2.6693,10.0658
116,Right SMC supplementary motor cortex,15.2372,4.0816,4.5676,3.2665,8.0898
117,Left SMC supplementary motor cortex,12.1013,3.7794,4.0615,3.3402,7.0686
118,Right SMG supramarginal gyrus,8.7654,1.1981,1.2639,1.5147,6.8176
119,Left SMG supramarginal gyrus,8.699,1.1351,1.1699,1.3835,6.9533
120,Right SOG superior occipital gyrus,7.1171,0.852,0.9198,1.1921,5.1068
121,Left SOG superior occipital gyrus,6.4583,0.7358,0.8429,1.0837,4.9752
122,Right SPL superior parietal lobule,11.814,3.7560000000000002,3.946,3.3280000000000003,7.4994
123,Left SPL superior parietal lobule,13.1363,3.695,3.8048,3.4193,8.7812
124,Right STG superior temporal gyrus,3.9684,1.3065,1.2326,1.4085,2.4218
125,Left STG superior temporal gyrus,1.9956,0.9399,0.8502,1.0931,2.2976
126,Right TMP temporal pole,5.5144,1.5981,1.5771,1.6419,2.8408
127,Left TMP temporal pole,5.0467,1.2586,1.2284,1.3147,4.1175
128,Right TrIFG triangular part of the inferior frontal gyrus,8.9396,2.7166,2.5802,2.9372,5.6158
129,Left TrIFG triangular part of the inferior frontal gyrus,6.4252,2.1913,2.0032,2.4737,6.7582
130,Right TTG transverse temporal gyrus,2.5546,0.6654,0.7021,0.6795,2.6914
131,Left TTG transverse temporal gyrus,2.126,0.3484,0.3215,0.5042,2.0989
